osm_id,key,value,commentary
24576715,crossing,zebra,uncontrolled
24775977,crossing,zebra,uncontrolled
82637218,crossing,marked,uncontrolled
106805350,crossing,marked,uncontrolled
106810173,crossing,marked,uncontrolled
106914280,crossing,marked,uncontrolled
106928168,crossing,marked,uncontrolled
164011422,crossing,marked,uncontrolled
229502085,crossing,marked,uncontrolled
229847988,crossing,marked,uncontrolled
229848172,crossing,marked,uncontrolled
229850994,crossing,marked,uncontrolled
230003157,crossing,marked,uncontrolled
231092796,crossing,marked,uncontrolled
262609532,crossing,marked,uncontrolled
344010637,crossing,marked,uncontrolled
473856869,crossing,marked,uncontrolled
488431774,crossing,marked,uncontrolled
488431775,crossing,marked,uncontrolled
490865261,crossing,zebra,uncontrolled
490865263,crossing,zebra,uncontrolled
490865267,crossing,zebra,uncontrolled
514861797,crossing,zebra,uncontrolled
517108518,crossing,zebra,uncontrolled
524285791,crossing,zebra,uncontrolled
524286161,crossing,marked,uncontrolled
553765471,crossing,zebra,uncontrolled
554566852,crossing,marked,uncontrolled
618035749,crossing,zebra,uncontrolled
629324551,crossing,zebra,uncontrolled
635818434,crossing,zebra,uncontrolled
637337403,crossing,marked,uncontrolled
640338070,crossing,marked,uncontrolled
640338073,crossing,marked,uncontrolled
640338074,crossing,zebra,uncontrolled
641558571,crossing,marked,uncontrolled
641558577,crossing,zebra,uncontrolled
644457817,crossing,marked,uncontrolled
645789432,crossing,marked,uncontrolled
645789433,crossing,zebra,uncontrolled
645789435,crossing,zebra,uncontrolled
645789436,crossing,zebra,uncontrolled
645789437,crossing,zebra,uncontrolled
645789441,crossing,zebra,uncontrolled
645789442,crossing,zebra,uncontrolled
645789443,crossing,zebra,uncontrolled
645789445,crossing,zebra,uncontrolled
645789447,crossing,zebra,uncontrolled
645789449,crossing,zebra,uncontrolled
645789453,crossing,zebra,uncontrolled
645789455,crossing,zebra,uncontrolled
645789456,crossing,zebra,uncontrolled
645789457,crossing,zebra,uncontrolled
645789461,crossing,zebra,uncontrolled
645789464,crossing,zebra,uncontrolled
646016141,crossing,zebra,uncontrolled
646016142,crossing,zebra,uncontrolled
646016144,crossing,zebra,uncontrolled
646016146,crossing,zebra,uncontrolled
646016148,crossing,zebra,uncontrolled
646016150,crossing,zebra,uncontrolled
646016151,crossing,zebra,uncontrolled
646016152,crossing,zebra,uncontrolled
646016154,crossing,zebra,uncontrolled
646016156,crossing,zebra,uncontrolled
650093220,crossing,zebra,uncontrolled
653618961,crossing,zebra,uncontrolled
653618962,crossing,zebra,uncontrolled
654379422,crossing,marked,uncontrolled
654379423,crossing,marked,uncontrolled
654379426,crossing,marked,uncontrolled
654379427,crossing,marked,uncontrolled
654379428,crossing,marked,uncontrolled
657092705,crossing,marked,uncontrolled
657095950,crossing,marked,uncontrolled
657750851,crossing,marked,uncontrolled
657750853,crossing,marked,uncontrolled
657750854,crossing,marked,uncontrolled
657750855,crossing,marked,uncontrolled
657750864,crossing,marked,uncontrolled
657750865,crossing,marked,uncontrolled
657752340,crossing,marked,uncontrolled
657942654,crossing,marked,uncontrolled
659237661,crossing,marked,uncontrolled
659237663,crossing,marked,uncontrolled
659237665,crossing,marked,uncontrolled
659237669,crossing,marked,uncontrolled
659237670,crossing,marked,uncontrolled
659237691,crossing,marked,uncontrolled
659237705,crossing,marked,uncontrolled
659237706,crossing,marked,uncontrolled
659237707,crossing,marked,uncontrolled
659237708,crossing,marked,uncontrolled
659237709,crossing,marked,uncontrolled
659237714,crossing,marked,uncontrolled
659241105,crossing,zebra,uncontrolled
659435720,crossing,marked,uncontrolled
659435724,crossing,marked,uncontrolled
659596361,crossing,marked,uncontrolled
659596367,crossing,marked,uncontrolled
659599244,crossing,marked,uncontrolled
659608764,crossing,marked,uncontrolled
660018984,crossing,marked,uncontrolled
660018991,crossing,marked,uncontrolled
660018993,crossing,marked,uncontrolled
660026413,crossing,marked,uncontrolled
660026414,crossing,marked,uncontrolled
660026415,crossing,marked,uncontrolled
660048126,crossing,marked,uncontrolled
660048132,crossing,marked,uncontrolled
660048135,crossing,marked,uncontrolled
660048144,crossing,marked,uncontrolled
660048148,crossing,marked,uncontrolled
660048151,crossing,marked,uncontrolled
660048160,crossing,marked,uncontrolled
660048168,crossing,marked,uncontrolled
660048181,crossing,marked,uncontrolled
660048186,crossing,marked,uncontrolled
660609544,crossing,marked,uncontrolled
660609545,crossing,marked,uncontrolled
661066835,crossing,marked,uncontrolled
661296216,crossing,marked,uncontrolled
661450958,crossing,marked,uncontrolled
661450959,crossing,marked,uncontrolled
661638166,crossing,marked,uncontrolled
661781335,crossing,marked,uncontrolled
661781342,crossing,marked,uncontrolled
661781359,crossing,marked,uncontrolled
662538157,crossing,marked,uncontrolled
662538163,crossing,marked,uncontrolled
662538174,crossing,marked,uncontrolled
663076707,crossing,marked,uncontrolled
663339786,crossing,marked,uncontrolled
663339787,crossing,marked,uncontrolled
663339788,crossing,marked,uncontrolled
663339792,crossing,marked,uncontrolled
663377929,crossing,marked,uncontrolled
663647805,crossing,marked,uncontrolled
663647806,crossing,marked,uncontrolled
663647807,crossing,marked,uncontrolled
663647813,crossing,marked,uncontrolled
664311308,crossing,marked,uncontrolled
664311324,crossing,marked,uncontrolled
664575380,crossing,marked,uncontrolled
664575385,crossing,marked,uncontrolled
664575386,crossing,marked,uncontrolled
664575392,crossing,marked,uncontrolled
664575393,crossing,marked,uncontrolled
664575397,crossing,marked,uncontrolled
664575398,crossing,marked,uncontrolled
664575412,crossing,marked,uncontrolled
664575413,crossing,marked,uncontrolled
666388564,crossing,zebra,uncontrolled
666388570,crossing,marked,uncontrolled
667784806,crossing,marked,uncontrolled
671002340,crossing,marked,uncontrolled
671002343,crossing,marked,uncontrolled
671124847,crossing,marked,uncontrolled
671127087,crossing,zebra,uncontrolled
672436976,crossing,marked,uncontrolled
672436979,crossing,marked,uncontrolled
672577323,crossing,marked,uncontrolled
672577325,crossing,marked,uncontrolled
672577327,crossing,marked,uncontrolled
672577328,crossing,marked,uncontrolled
672577329,crossing,marked,uncontrolled
676395036,crossing,marked,uncontrolled
685999195,crossing,zebra,uncontrolled
688532118,crossing,zebra,uncontrolled
688532119,crossing,zebra,uncontrolled
692641618,crossing,marked,uncontrolled
692641636,crossing,zebra,uncontrolled
693644308,crossing,marked,uncontrolled
694310121,crossing,marked,uncontrolled
696205537,crossing,marked,uncontrolled
698273408,crossing,marked,uncontrolled
698273409,crossing,marked,uncontrolled
698358537,crossing,marked,uncontrolled
708700042,crossing,marked,uncontrolled
720390758,crossing,marked,uncontrolled
722630548,crossing,marked,uncontrolled
724726406,crossing,marked,uncontrolled
724738046,crossing,marked,uncontrolled
724738047,crossing,marked,uncontrolled
727640922,crossing,marked,uncontrolled
729117716,crossing,marked,uncontrolled
730964753,crossing,marked,uncontrolled
734816736,crossing,marked,uncontrolled
738984495,crossing,marked,uncontrolled
739093159,crossing,marked,uncontrolled
739093160,crossing,marked,uncontrolled
739093165,crossing,marked,uncontrolled
739093166,crossing,marked,uncontrolled
739097534,crossing,marked,uncontrolled
739097536,crossing,marked,uncontrolled
739461153,crossing,marked,uncontrolled
753738630,crossing,marked,uncontrolled
760887542,crossing,zebra,uncontrolled
760887543,crossing,marked,uncontrolled
760887544,crossing,marked,uncontrolled
760887548,crossing,zebra,uncontrolled
763039967,crossing,marked,uncontrolled
764632608,crossing,marked,uncontrolled
764632609,crossing,marked,uncontrolled
764632612,crossing,marked,uncontrolled
764632618,crossing,marked,uncontrolled
764632620,crossing,marked,uncontrolled
764632622,crossing,marked,uncontrolled
807385063,crossing,marked,uncontrolled
807385064,crossing,marked,uncontrolled
886184893,crossing,marked,uncontrolled
948322146,crossing,marked,uncontrolled
948322151,crossing,marked,uncontrolled
953195825,crossing,marked,uncontrolled
953195827,crossing,marked,uncontrolled
953195829,crossing,marked,uncontrolled
953197230,crossing,marked,uncontrolled
953197231,crossing,marked,uncontrolled
953197232,crossing,marked,uncontrolled
953197233,crossing,marked,uncontrolled
953197234,crossing,marked,uncontrolled
953197235,crossing,marked,uncontrolled
953197236,crossing,marked,uncontrolled
953197239,crossing,marked,uncontrolled
953197240,crossing,marked,uncontrolled
953197348,crossing,marked,uncontrolled
953197349,crossing,marked,uncontrolled
953197350,crossing,marked,uncontrolled
953197351,crossing,marked,uncontrolled
953197352,crossing,marked,uncontrolled
953197354,crossing,marked,uncontrolled
953197355,crossing,marked,uncontrolled
953197356,crossing,marked,uncontrolled
953197357,crossing,marked,uncontrolled
953197358,crossing,marked,uncontrolled
953197359,crossing,marked,uncontrolled
953198582,crossing,marked,uncontrolled
953198583,crossing,marked,uncontrolled
953198584,crossing,marked,uncontrolled
953198585,crossing,marked,uncontrolled
953198586,crossing,marked,uncontrolled
953198587,crossing,marked,uncontrolled
953198588,crossing,marked,uncontrolled
953198589,crossing,marked,uncontrolled
953198590,crossing,marked,uncontrolled
953198591,crossing,marked,uncontrolled
953199642,crossing,marked,uncontrolled
953200176,crossing,marked,uncontrolled
953200177,crossing,marked,uncontrolled
953200178,crossing,marked,uncontrolled
953200179,crossing,marked,uncontrolled
953200180,crossing,marked,uncontrolled
953200181,crossing,marked,uncontrolled
953200182,crossing,marked,uncontrolled
953200183,crossing,marked,uncontrolled
953200480,crossing,marked,uncontrolled
953201409,crossing,marked,uncontrolled
955077705,crossing,marked,uncontrolled
957702517,crossing,marked,uncontrolled
957702519,crossing,marked,uncontrolled
957990303,crossing,marked,uncontrolled
957990307,crossing,marked,uncontrolled
957990309,crossing,marked,uncontrolled
986789199,crossing,marked,uncontrolled
1001598242,crossing,marked,uncontrolled
1008708692,crossing,marked,uncontrolled
1020755063,crossing,marked,uncontrolled
1037027932,crossing,marked,uncontrolled
1042389738,crossing,marked,uncontrolled
1042441187,crossing,marked,uncontrolled
1042441188,crossing,marked,uncontrolled
1042657752,crossing,marked,uncontrolled
1042657755,crossing,marked,uncontrolled
1042663258,crossing,marked,uncontrolled
1042663259,crossing,marked,uncontrolled
1042663260,crossing,marked,uncontrolled
1042663261,crossing,marked,uncontrolled
1042667165,crossing,marked,uncontrolled
1042667167,crossing,marked,uncontrolled
1042667172,crossing,marked,uncontrolled
1042695886,crossing,marked,uncontrolled
1042695887,crossing,marked,uncontrolled
1042698044,crossing,marked,uncontrolled
1047723997,crossing,marked,uncontrolled
1049170290,crossing,marked,uncontrolled
1049788955,crossing,marked,uncontrolled
1049788956,crossing,marked,uncontrolled
1049788957,crossing,marked,uncontrolled
1049788959,crossing,marked,uncontrolled
1049788961,crossing,marked,uncontrolled
1050447241,crossing,marked,uncontrolled
1051401362,crossing,marked,uncontrolled
1051403216,crossing,marked,uncontrolled
1051403774,crossing,marked,uncontrolled
1051403776,crossing,marked,uncontrolled
1054973923,crossing,marked,uncontrolled
1065303797,crossing,marked,uncontrolled
1070687542,crossing,marked,uncontrolled
1070687545,crossing,marked,uncontrolled
1070687547,crossing,marked,uncontrolled
1074628716,crossing,marked,uncontrolled
1097986246,crossing,marked,uncontrolled
1098004733,crossing,marked,uncontrolled
1098004734,crossing,marked,uncontrolled
1109912046,crossing,marked,uncontrolled
1109912047,crossing,marked,uncontrolled
1109912048,crossing,marked,uncontrolled
1109912055,crossing,marked,uncontrolled
1112384092,crossing,marked,uncontrolled
1112384093,crossing,marked,uncontrolled
1152582611,crossing,marked,uncontrolled
1163478598,crossing,marked,uncontrolled
1163479163,crossing,marked,uncontrolled
1163980467,crossing,marked,uncontrolled
1169662140,crossing,marked,uncontrolled
